UNITID,InstitutionName,State-Country,Region,SECTOR,Level,HighestDegreeOffered,UnderGradOfferings,GradOfferings,DegreeOffered,DegreeGrantingYN,HBCU,TRIBAL,DegreeOfUrban,InstCatOfProg,Degrees-Majors,MajorFields,InstSize,UNITID,"Level of Student","Grand Total","Grand Total Men","Grand Total Women",MyUnknownColumn,UNITID,"Grand Total","Grand Total Men","Grand Total Women"
101189,"Faulkner University",1,5,2,1,9,1,1,11,1,2,2,12,2,19,22,2,101189,4,1040,381,659,16,101189,791,292,499
101240,"Gadsden State Community College",1,5,4,2,3,1,2,40,1,1,2,13,4,7,3,2,101240,1,6678,2678,4000,17,101240,980,389,591
101240,"Gadsden State Community College",1,5,4,2,3,1,2,40,1,1,2,13,4,7,3,2,101240,2,6678,2678,4000,17,101240,980,389,591
101277,"New Beginning College of Cosmetology",1,5,9,3,2,1,2,0,2,2,2,32,6,-2,-2,1,101277,1,140,3,137,18,101277,50,2,48
101277,"New Beginning College of Cosmetology",1,5,9,3,2,1,2,0,2,2,2,32,6,-2,-2,1,101277,2,140,3,137,18,101277,50,2,48
101286,"George C Wallace Community College-Dothan",1,5,4,2,3,1,2,40,1,2,2,13,4,7,2,2,101286,1,6283,2192,4091,19,101286,1120,364,756
101286,"George C Wallace Community College-Dothan",1,5,4,2,3,1,2,40,1,2,2,13,4,7,2,2,101286,2,6283,2192,4091,19,101286,1120,364,756
101295,"George C Wallace State Community College-Hanceville",1,5,4,2,3,1,2,40,1,2,2,32,4,7,2,2,101295,1,6975,2492,4483,20,101295,1612,638,974
101295,"George C Wallace State Community College-Hanceville",1,5,4,2,3,1,2,40,1,2,2,32,4,7,2,2,101295,2,6975,2492,4483,20,101295,1612,638,974
101301,"George C Wallace State Community College-Selma",1,5,4,2,3,1,2,40,1,2,2,32,4,5,2,2,101301,1,2448,947,1501,21,101301,349,145,204
101301,"George C Wallace State Community College-Selma",1,5,4,2,3,1,2,40,1,2,2,32,4,5,2,2,101301,2,2448,947,1501,21,101301,349,145,204
101365,"Herzing University-Birmingham",1,5,2,1,8,1,1,20,1,2,2,21,3,23,22,1,101365,1,1108,240,868,22,101365,233,70,163
101365,"Herzing University-Birmingham",1,5,2,1,8,1,1,20,1,2,2,21,3,23,22,1,101365,2,1082,236,846,22,101365,233,70,163
101365,"Herzing University-Birmingham",1,5,2,1,8,1,1,20,1,2,2,21,3,23,22,1,101365,4,26,4,22,22,101365,233,70,163
101435,"Huntingdon College",1,5,2,1,5,1,2,30,1,2,2,12,2,22,22,2,101435,1,1208,593,615,23,101435,254,104,150
101435,"Huntingdon College",1,5,2,1,5,1,2,30,1,2,2,12,2,22,22,2,101435,2,1208,593,615,23,101435,254,104,150
101453,"Heritage Christian University",1,5,2,1,7,1,1,20,1,2,2,13,2,24,24,1,101453,1,109,103,6,24,101453,10,9,1
101453,"Heritage Christian University",1,5,2,1,7,1,1,20,1,2,2,13,2,24,24,1,101453,2,69,64,5,24,101453,10,9,1
101453,"Heritage Christian University",1,5,2,1,7,1,1,20,1,2,2,13,2,24,24,1,101453,4,40,39,1,24,101453,10,9,1
101462,"J. F. Drake State Community and Technical College",1,5,4,2,3,1,2,40,1,1,2,12,4,7,1,1,101462,1,1121,528,593,25,101462,136,53,83
101462,"J. F. Drake State Community and Technical College",1,5,4,2,3,1,2,40,1,1,2,12,4,7,1,1,101462,2,1121,528,593,25,101462,136,53,83
101471,"J F Ingram State Technical College",1,5,4,2,3,1,2,40,1,2,2,21,4,-2,1,1,101471,1,806,581,225,26,101471,476,345,131
101471,"J F Ingram State Technical College",1,5,4,2,3,1,2,40,1,2,2,21,4,-2,1,1,101471,2,806,581,225,26,101471,476,345,131
101480,"Jacksonville State University",1,5,1,1,9,1,1,13,1,2,2,23,2,18,18,3,101480,1,9766,4017,5749,27,101480,1713,636,1077
101480,"Jacksonville State University",1,5,1,1,9,1,1,13,1,2,2,23,2,18,18,3,101480,2,8307,3527,4780,27,101480,1713,636,1077
101480,"Jacksonville State University",1,5,1,1,9,1,1,13,1,2,2,23,2,18,18,3,101480,4,1459,490,969,27,101480,1713,636,1077
101505,"Jefferson State Community College",1,5,4,2,3,1,2,40,1,2,2,12,4,8,7,3,101505,1,13617,5274,8343,28,101505,978,329,649
101505,"Jefferson State Community College",1,5,4,2,3,1,2,40,1,2,2,12,4,8,7,3,101505,2,13617,5274,8343,28,101505,978,329,649
101514,"John C Calhoun State Community College",1,5,4,2,3,1,2,40,1,2,2,41,4,2,3,3,101514,1,15020,6991,8029,29,101514,1662,873,789
101514,"John C Calhoun State Community College",1,5,4,2,3,1,2,40,1,2,2,41,4,2,3,3,101514,2,15020,6991,8029,29,101514,1662,873,789
101541,"Judson College",1,5,2,1,5,1,2,30,1,2,2,43,2,21,21,1,101541,1,398,7,391,30,101541,58,3,55
101541,"Judson College",1,5,2,1,5,1,2,30,1,2,2,43,2,21,21,1,101541,2,398,7,391,30,101541,58,3,55
101569,"Lawson State Community College",1,5,4,2,3,1,2,40,1,1,2,12,4,4,7,2,101569,1,4874,1849,3025,31,101569,600,303,297
101569,"Lawson State Community College",1,5,4,2,3,1,2,40,1,1,2,12,4,4,7,2,101569,2,4874,1849,3025,31,101569,600,303,297
101587,"University of West Alabama",1,5,1,1,9,1,1,12,1,2,2,43,2,18,18,3,101587,1,7908,2067,5841,32,101587,1364,345,1019
101587,"University of West Alabama",1,5,1,1,9,1,1,12,1,2,2,43,2,18,18,3,101587,2,2767,1129,1638,32,101587,1364,345,1019
101587,"University of West Alabama",1,5,1,1,9,1,1,12,1,2,2,43,2,18,18,3,101587,4,5141,938,4203,32,101587,1364,345,1019
101602,"Lurleen B Wallace Community College",1,5,4,2,3,1,2,40,1,2,2,41,4,5,1,2,101602,1,2514,1038,1476,33,101602,498,217,281
101602,"Lurleen B Wallace Community College",1,5,4,2,3,1,2,40,1,2,2,41,4,5,1,2,101602,2,2514,1038,1476,33,101602,498,217,281
101648,"Marion Military Institute",1,5,4,2,3,1,2,40,1,2,2,43,4,1,1,1,101648,1,417,312,105,34,101648,124,97,27
101648,"Marion Military Institute",1,5,4,2,3,1,2,40,1,2,2,43,4,1,1,1,101648,2,417,312,105,34,101648,124,97,27
101675,"Miles College",1,5,2,1,5,1,2,30,1,1,2,21,2,22,22,2,101675,1,1853,868,985,35,101675,230,101,129
101675,"Miles College",1,5,2,1,5,1,2,30,1,1,2,21,2,22,22,2,101675,2,1853,868,985,35,101675,230,101,129
101693,"University of Mobile",1,5,2,1,9,1,1,12,1,2,2,41,2,22,22,2,101693,1,2065,699,1366,36,101693,341,106,235
101693,"University of Mobile",1,5,2,1,9,1,1,12,1,2,2,41,2,22,22,2,101693,2,1786,634,1152,36,101693,341,106,235
101693,"University of Mobile",1,5,2,1,9,1,1,12,1,2,2,41,2,22,22,2,101693,4,279,65,214,36,101693,341,106,235
101709,"University of Montevallo",1,5,1,1,8,1,1,20,1,2,2,21,2,19,19,2,101709,1,2841,892,1949,37,101709,581,156,425
101709,"University of Montevallo",1,5,1,1,8,1,1,20,1,2,2,21,2,19,19,2,101709,2,2445,815,1630,37,101709,581,156,425
101709,"University of Montevallo",1,5,1,1,8,1,1,20,1,2,2,21,2,19,19,2,101709,4,396,77,319,37,101709,581,156,425
101736,"Northwest-Shoals Community College",1,5,4,2,3,1,2,40,1,2,2,13,4,5,2,2,101736,1,4934,1940,2994,38,101736,682,332,350
101736,"Northwest-Shoals Community College",1,5,4,2,3,1,2,40,1,2,2,13,4,5,2,2,101736,2,4934,1940,2994,38,101736,682,332,350
101879,"University of North Alabama",1,5,1,1,8,1,1,20,1,2,2,13,2,18,18,3,101879,1,8901,3629,5272,39,101879,1583,625,958
101879,"University of North Alabama",1,5,1,1,8,1,1,20,1,2,2,13,2,18,18,3,101879,2,7088,2899,4189,39,101879,1583,625,958
101879,"University of North Alabama",1,5,1,1,8,1,1,20,1,2,2,13,2,18,18,3,101879,4,1813,730,1083,39,101879,1583,625,958
101897,"Northeast Alabama Community College",1,5,4,2,3,1,2,40,1,2,2,42,4,5,2,2,101897,1,4007,1554,2453,40,101897,1034,434,600
101897,"Northeast Alabama Community College",1,5,4,2,3,1,2,40,1,2,2,42,4,5,2,2,101897,2,4007,1554,2453,40,101897,1034,434,600
101912,"Oakwood University",1,5,2,1,7,1,1,20,1,1,2,12,2,22,22,2,101912,1,1772,763,1009,41,101912,328,129,199
101912,"Oakwood University",1,5,2,1,7,1,1,20,1,1,2,12,2,22,22,2,101912,2,1702,735,967,41,101912,328,129,199
101912,"Oakwood University",1,5,2,1,7,1,1,20,1,1,2,12,2,22,22,2,101912,4,70,28,42,41,101912,328,129,199
101994,"Reid State Technical College",1,5,4,2,3,1,2,40,1,2,2,41,4,8,1,1,101994,1,604,222,382,42,101994,100,36,64
101994,"Reid State Technical College",1,5,4,2,3,1,2,40,1,2,2,41,4,8,1,1,101994,2,604,222,382,42,101994,100,36,64
102030,"Bishop State Community College",1,5,4,2,4,1,2,40,1,1,2,12,4,8,7,2,102030,1,4563,1859,2704,43,102030,739,384,355
102030,"Bishop State Community College",1,5,4,2,4,1,2,40,1,1,2,12,4,8,7,2,102030,2,4563,1859,2704,43,102030,739,384,355
102049,"Samford University",1,5,2,1,9,1,1,11,1,2,2,21,2,17,19,3,102049,1,6041,2071,3970,44,102049,1509,504,1005
102049,"Samford University",1,5,2,1,9,1,1,11,1,2,2,21,2,17,19,3,102049,2,3618,1232,2386,44,102049,1509,504,1005
102049,"Samford University",1,5,2,1,9,1,1,11,1,2,2,21,2,17,19,3,102049,4,2423,839,1584,44,102049,1509,504,1005
102058,"Selma University",1,5,2,1,7,1,1,20,1,1,2,32,2,24,24,1,102058,1,215,118,97,45,102058,19,9,10
102058,"Selma University",1,5,2,1,7,1,1,20,1,1,2,32,2,24,24,1,102058,2,197,109,88,45,102058,19,9,10
102058,"Selma University",1,5,2,1,7,1,1,20,1,1,2,32,2,24,24,1,102058,4,18,9,9,45,102058,19,9,10
102067,"Shelton State Community College",1,5,4,2,3,1,2,40,1,1,2,12,4,7,3,2,102067,1,7044,3017,4027,46,102067,679,276,403
102067,"Shelton State Community College",1,5,4,2,3,1,2,40,1,1,2,12,4,7,3,2,102067,2,7044,3017,4027,46,102067,679,276,403
102076,"Snead State Community College",1,5,4,2,3,1,2,40,1,2,2,32,4,2,2,2,102076,1,4118,1567,2551,47,102076,467,162,305
102076,"Snead State Community College",1,5,4,2,3,1,2,40,1,2,2,32,4,2,2,2,102076,2,4118,1567,2551,47,102076,467,162,305
102094,"University of South Alabama",1,5,1,1,9,1,1,11,1,2,2,12,2,16,16,4,102094,1,16889,5877,11012,48,102094,3504,1118,2386
102094,"University of South Alabama",1,5,1,1,9,1,1,11,1,2,2,12,2,16,16,4,102094,2,11327,4672,6655,48,102094,3504,1118,2386
102094,"University of South Alabama",1,5,1,1,9,1,1,11,1,2,2,12,2,16,16,4,102094,4,5562,1205,4357,48,102094,3504,1118,2386
102234,"Spring Hill College",1,5,2,1,8,1,1,20,1,2,2,12,2,21,20,2,102234,1,1534,641,893,49,102234,307,125,182
102234,"Spring Hill College",1,5,2,1,8,1,1,20,1,2,2,12,2,21,20,2,102234,2,1356,527,829,49,102234,307,125,182
102234,"Spring Hill College",1,5,2,1,8,1,1,20,1,2,2,12,2,21,20,2,102234,4,178,114,64,49,102234,307,125,182
102270,"Stillman College",1,5,2,1,5,1,2,30,1,1,2,12,2,21,21,1,102270,1,947,415,532,50,102270,93,30,63
102270,"Stillman College",1,5,2,1,5,1,2,30,1,1,2,12,2,21,21,1,102270,2,947,415,532,50,102270,93,30,63
102298,"Talladega College",1,5,2,1,7,1,1,20,1,1,2,32,2,21,21,2,102298,1,1331,680,651,51,102298,101,46,55
102298,"Talladega College",1,5,2,1,7,1,1,20,1,1,2,32,2,21,21,2,102298,2,1321,679,642,51,102298,101,46,55
102298,"Talladega College",1,5,2,1,7,1,1,20,1,1,2,32,2,21,21,2,102298,4,10,1,9,51,102298,101,46,55
102313,"H Councill Trenholm State Community College",1,5,4,2,3,1,2,40,1,1,2,12,4,7,1,2,102313,1,2618,1156,1462,52,102313,340,185,155
102313,"H Councill Trenholm State Community College",1,5,4,2,3,1,2,40,1,1,2,12,4,7,1,2,102313,2,2618,1156,1462,52,102313,340,185,155
102368,"Troy University",1,5,1,1,9,1,1,11,1,2,2,33,2,18,18,4,102368,1,21039,7915,13124,53,102368,3821,1353,2468
102368,"Troy University",1,5,1,1,9,1,1,11,1,2,2,33,2,18,18,4,102368,2,16107,6229,9878,53,102368,3821,1353,2468
102368,"Troy University",1,5,1,1,9,1,1,11,1,2,2,33,2,18,18,4,102368,4,4932,1686,3246,53,102368,3821,1353,2468
102377,"Tuskegee University",1,5,2,1,9,1,1,11,1,1,2,32,2,19,22,2,102377,1,3345,1227,2118,54,102377,545,193,352
102377,"Tuskegee University",1,5,2,1,9,1,1,11,1,1,2,32,2,19,22,2,102377,2,2797,1043,1754,54,102377,545,193,352
102377,"Tuskegee University",1,5,2,1,9,1,1,11,1,1,2,32,2,19,22,2,102377,4,548,184,364,54,102377,545,193,352
102395,"United States Sports Academy",1,5,2,1,9,1,1,14,1,2,2,13,2,32,32,1,102395,1,583,437,146,55,102395,69,44,25
102395,"United States Sports Academy",1,5,2,1,9,1,1,14,1,2,2,13,2,32,32,1,102395,2,306,241,65,55,102395,69,44,25
102395,"United States Sports Academy",1,5,2,1,9,1,1,14,1,2,2,13,2,32,32,1,102395,4,277,196,81,55,102395,69,44,25
102429,"Bevill State Community College",1,5,4,2,3,1,2,40,1,2,2,32,4,8,2,2,102429,1,5637,2225,3412,56,102429,988,482,506
102429,"Bevill State Community College",1,5,4,2,3,1,2,40,1,2,2,32,4,8,2,2,102429,2,5637,2225,3412,56,102429,988,482,506
102553,"University of Alaska Anchorage",2,8,1,1,9,1,1,12,1,2,2,11,2,18,18,4,102553,1,23371,9190,14181,57,102553,2250,912,1338
102553,"University of Alaska Anchorage",2,8,1,1,9,1,1,12,1,2,2,11,2,18,18,4,102553,2,22300,8838,13462,57,102553,2250,912,1338
102553,"University of Alaska Anchorage",2,8,1,1,9,1,1,12,1,2,2,11,2,18,18,4,102553,4,1071,352,719,57,102553,2250,912,1338
102580,"Alaska Bible College",2,8,2,1,5,1,2,30,1,2,2,32,2,24,-2,1,102580,1,54,31,23,58,102580,6,2,4
102580,"Alaska Bible College",2,8,2,1,5,1,2,30,1,2,2,32,2,24,-2,1,102580,2,54,31,23,58,102580,6,2,4
102614,"University of Alaska Fairbanks",2,8,1,1,9,1,1,12,1,2,2,23,2,16,16,3,102614,1,12297,4717,7580,59,102614,1325,554,771
102614,"University of Alaska Fairbanks",2,8,1,1,9,1,1,12,1,2,2,23,2,16,16,3,102614,2,11045,4222,6823,59,102614,1325,554,771
102614,"University of Alaska Fairbanks",2,8,1,1,9,1,1,12,1,2,2,23,2,16,16,3,102614,4,1252,495,757,59,102614,1325,554,771
102632,"University of Alaska Southeast",2,8,1,1,7,1,1,20,1,2,2,33,2,19,20,2,102632,1,4066,1427,2639,60,102632,511,187,324
102632,"University of Alaska Southeast",2,8,1,1,7,1,1,20,1,2,2,33,2,19,20,2,102632,2,3654,1316,2338,60,102632,511,187,324
102632,"University of Alaska Southeast",2,8,1,1,7,1,1,20,1,2,2,33,2,19,20,2,102632,4,412,111,301,60,102632,511,187,324
102669,"Alaska Pacific University",2,8,2,1,9,1,1,13,1,2,2,11,2,20,20,1,102669,1,597,204,393,61,102669,117,47,70
102669,"Alaska Pacific University",2,8,2,1,9,1,1,13,1,2,2,11,2,20,20,1,102669,2,368,116,252,61,102669,117,47,70
102669,"Alaska Pacific University",2,8,2,1,9,1,1,13,1,2,2,11,2,20,20,1,102669,4,229,88,141,61,102669,117,47,70
102711,"Alaska Vocational Technical Center",2,8,7,3,2,1,2,0,2,2,2,43,6,-2,-2,1,102711,1,190,144,46,62,102711,162,124,38
102711,"Alaska Vocational Technical Center",2,8,7,3,2,1,2,0,2,2,2,43,6,-2,-2,1,102711,2,190,144,46,62,102711,162,124,38
102845,"Charter College",53,8,3,1,5,1,2,30,1,2,2,12,3,23,23,2,102845,1,4383,1086,3297,63,102845,1821,387,1434
102845,"Charter College",53,8,3,1,5,1,2,30,1,2,2,12,3,23,23,2,102845,2,4383,1086,3297,63,102845,1821,387,1434
103501,"Alaska Career College",2,8,6,2,3,1,2,40,1,2,2,11,4,13,-2,1,103501,1,605,84,521,64,103501,265,32,233
103501,"Alaska Career College",2,8,6,2,3,1,2,40,1,2,2,11,4,13,-2,1,103501,2,605,84,521,64,103501,265,32,233
103741,"Empire Beauty School-Tucson",4,6,9,3,2,1,2,0,2,2,2,11,6,-2,-2,1,103741,1,154,17,137,65,103741,46,8,38
103741,"Empire Beauty School-Tucson",4,6,9,3,2,1,2,0,2,2,2,11,6,-2,-2,1,103741,2,154,17,137,65,103741,46,8,38
103893,"Carrington College-Phoenix North",4,6,6,2,3,1,2,40,1,2,2,11,4,10,10,2,103893,1,2582,401,2181,66,103893,1020,143,877
103893,"Carrington College-Phoenix North",4,6,6,2,3,1,2,40,1,2,2,11,4,10,10,2,103893,2,2582,401,2181,66,103893,1020,143,877
103945,CollegeAmerica-Flagstaff,4,6,5,2,3,1,2,40,1,2,2,13,4,26,10,1,103945,1,81,11,70,67,103945,22,2,20
103945,CollegeAmerica-Flagstaff,4,6,5,2,3,1,2,40,1,2,2,13,4,26,10,1,103945,2,81,11,70,67,103945,22,2,20
103954,"Arizona Academy of Beauty-East",4,6,9,3,2,1,2,0,2,2,2,11,6,-2,-2,1,103954,1,84,5,79,68,103954,37,3,34
103954,"Arizona Academy of Beauty-East",4,6,9,3,2,1,2,0,2,2,2,11,6,-2,-2,1,103954,2,84,5,79,68,103954,37,3,34
103963,"Platt College-Arizona Automotive Institute Arizona",4,6,9,3,2,1,2,0,2,2,2,21,6,-2,10,1,103963,1,1135,1030,105,69,103963,417,389,28
103963,"Platt College-Arizona Automotive Institute Arizona",4,6,9,3,2,1,2,0,2,2,2,21,6,-2,10,1,103963,2,1135,1030,105,69,103963,417,389,28
104090,"Brookline College-Phoenix",4,6,3,1,7,1,1,20,1,2,2,11,3,26,23,2,104090,1,2212,323,1889,70,104090,460,72,388
104090,"Brookline College-Phoenix",4,6,3,1,7,1,1,20,1,2,2,11,3,26,23,2,104090,2,2189,320,1869,70,104090,460,72,388
104090,"Brookline College-Phoenix",4,6,3,1,7,1,1,20,1,2,2,11,3,26,23,2,104090,4,23,3,20,70,104090,460,72,388
104151,"Arizona State University-Tempe",4,6,1,1,9,1,1,12,1,2,2,12,2,15,15,5,104151,1,56567,31811,24756,71,104151,12869,7234,5635
104151,"Arizona State University-Tempe",4,6,1,1,9,1,1,12,1,2,2,12,2,15,15,5,104151,2,46314,25944,20370,71,104151,12869,7234,5635
104151,"Arizona State University-Tempe",4,6,1,1,9,1,1,12,1,2,2,12,2,15,15,5,104151,4,10253,5867,4386,71,104151,12869,7234,5635
104160,"Arizona Western College",4,6,4,2,3,1,2,40,1,2,2,13,4,1,3,3,104160,1,11521,5221,6300,72,104160,1358,814,544
104160,"Arizona Western College",4,6,4,2,3,1,2,40,1,2,2,13,4,1,3,3,104160,2,11521,5221,6300,72,104160,1358,814,544
104179,"University of Arizona",4,6,1,1,9,1,1,11,1,2,2,11,2,15,15,5,104179,1,48653,23138,25515,73,104179,10522,4911,5611
104179,"University of Arizona",4,6,1,1,9,1,1,11,1,2,2,11,2,15,15,5,104179,2,37332,17833,19499,73,104179,10522,4911,5611
104179,"University of Arizona",4,6,1,1,9,1,1,11,1,2,2,11,2,15,15,5,104179,4,11321,5305,6016,73,104179,10522,4911,5611
104188,"Southwest University of Visual Arts-Tucson",4,6,2,1,7,1,1,20,1,2,2,11,2,30,30,1,104188,1,127,61,66,74,104188,19,7,12
104188,"Southwest University of Visual Arts-Tucson",4,6,2,1,7,1,1,20,1,2,2,11,2,30,30,1,104188,2,125,59,66,74,104188,19,7,12
104188,"Southwest University of Visual Arts-Tucson",4,6,2,1,7,1,1,20,1,2,2,11,2,30,30,1,104188,4,2,2,0,74,104188,19,7,12
104346,"Central Arizona College",4,6,4,2,3,1,2,40,1,2,2,41,4,2,5,2,104346,1,8518,3681,4837,75,104346,987,528,459
104346,"Central Arizona College",4,6,4,2,3,1,2,40,1,2,2,41,4,2,5,2,104346,2,8518,3681,4837,75,104346,987,528,459
104391,"Charles of Italy Beauty College",4,6,9,3,2,1,2,0,2,2,2,13,6,-2,-2,1,104391,1,71,5,66,76,104391,17,2,15
104391,"Charles of Italy Beauty College",4,6,9,3,2,1,2,0,2,2,2,13,6,-2,-2,1,104391,2,71,5,66,76,104391,17,2,15
104425,"Cochise County Community College District",4,6,4,2,3,1,2,40,1,2,2,13,4,9,3,2,104425,1,9842,6147,3695,77,104425,1823,1085,738
104425,"Cochise County Community College District",4,6,4,2,3,1,2,40,1,2,2,13,4,9,3,2,104425,2,9842,6147,3695,77,104425,1823,1085,738
104434,"Empire Beauty School-Flagstaff",4,6,9,3,2,1,2,0,2,2,2,13,6,-2,-2,1,104434,1,57,2,55,78,104434,27,0,27
104434,"Empire Beauty School-Flagstaff",4,6,9,3,2,1,2,0,2,2,2,13,6,-2,-2,1,104434,2,57,2,55,78,104434,27,0,27
104443,"Empire Beauty School-Chandler",4,6,9,3,2,1,2,0,2,2,2,11,6,-2,-2,1,104443,1,101,10,91,79,104443,30,1,29
